label_parent,label,label_parent_en,label_en
#Global,China,#Global,China
#Global,Japan,#Global,Japan
#Global,Südkorea,#Global,South Korea
#Global,Taiwan,#Global,Taiwan
#Global,Thailand,#Global,Thailand
#Global,USA,#Global,USA
China,Anhui,China,Anhui
China,Chongqing,China,Chongqing
China,Fujian,China,Fujian
China,Guangdong,China,Guangdong
China,Guangxi,China,Guangxi
China,Guizhou,China,Guizhou
China,Hainan,China,Hainan
China,Hebei,China,Hebei
China,Henan,China,Henan
China,Hubei (Wuhan),China,Hubei (Wuhan)
China,Hunan,China,Hunan
China,Jiangsu,China,Jiangsu
China,Jiangxi,China,Jiangxi
China,Liaoning,China,Liaoning
China,Macau,China,Macao
China,Ningxia,China,Ningxia
China,Peking (Beijing),China,Beijing
China,Shandong,China,Shandong
China,Shanghai,China,Shanghai
China,Shanxi,China,Shanxi
China,Sichuan,China,Sichuan
China,Tianjin,China,Tianjin
China,Yunnan,China,Yunnan
China,Zhejiang,China,Zhejiang
USA,Washington,USA,Washington
#Global,Singapur,#Global,Singapore
#Global,Vietnam,#Global,Vietnam
China,Gansu,China,Gansu
China,Heilongjiang,China,Heilongjiang
China,Hong Kong,China,Hong Kong
China,Jilin,China,Jilin
China,Shaanxi,China,Shaanxi
China,Xinjiang,China,Xinjiang
China,Innere Mongolei,China,Inner Mongolia
USA,Illinois,USA,Illinois
#Global,Australien,#Global,Australia
#Global,Frankreich,#Global,France
#Global,Nepal,#Global,Nepal
China,Qinghai,China,Qinghai
#Global,Malaysia,#Global,Malaysia
USA,Arizona,USA,Arizona
USA,California,USA,California
#Global,Deutschland,#Global,Germany
#Global,Elfenbeinküste,#Global,Ivory Coast
#Global,Kambodscha,#Global,Cambodia
#Global,Kanada,#Global,Canada
#Global,Sri Lanka,#Global,Sri Lanka
Australien,New South Wales,Australia,New South Wales
Australien,Victoria,Australia,Victoria
Deutschland,Baden-Württemberg,Germany,Baden-Württemberg
Deutschland,Bayern,Germany,Bavaria
Deutschland,Berlin,Germany,Berlin
Deutschland,Brandenburg,Germany,Brandenburg
Deutschland,Bremen,Germany,Bremen
Deutschland,Hamburg,Germany,Hamburg
Deutschland,Hessen,Germany,Hesse
Deutschland,Mecklenburg-Vorpommern,Germany,Mecklenburg-Western Pomerania
Deutschland,Niedersachsen,Germany,Lower Saxony
Deutschland,Nordrhein-Westfalen,Germany,North Rhine-Westphalia
Deutschland,Rheinland-Pfalz,Germany,Rhineland-Palatinate
Deutschland,Saarland,Germany,Saarland
Deutschland,Sachsen,Germany,Saxony
Deutschland,Sachsen-Anhalt,Germany,Saxony-Anhalt
Deutschland,Schleswig-Holstein,Germany,Sleswick-Holsatia
Deutschland,Thüringen,Germany,Thuringia
Deutschland,weitere Fälle bundesweit,Germany,other cases in Germany
Kanada,Ontario,Canada,Ontario
Kanada,British Columbia,Canada,British Columbia
#Global,Finnland,#Global,Finland
#Global,Vereinigte Arabische Emirate,#Global,United Arab Emirates
Australien,Queensland,Australia,Queensland
#Global,Indien,#Global,India
#Global,Philippinen,#Global,Philippines
China,Tibet,China,Tibet
#Global,Großbritannien,#Global,United Kingdom
#Global,Italien,#Global,Italy
#Global,Russland,#Global,Russia
#Global,Schweden,#Global,Sweden
#Global,Spanien,#Global,Spain
Australien,South Australia,Australia,South Australia
USA,Massachusetts,USA,Massachusetts
#Global,Belgien,#Global,Belgium
USA,Wisconsin,USA,Wisconsin
International,Kreuzfahrtschiff 'Diamond Princess',International,Cruise Ship 'Diamond Princess'
International,Kreuzfahrtschiffe,International,Cruise Ships
USA,Texas,USA,Texas
#Global,Ägypten,#Global,Egypt
#Global,Iran,#Global,Iran
#Global,Israel,#Global,Israel
#Global,Libanon,#Global,Lebanon
Bürger Australiens,Kreuzfahrtschiff 'Diamond Princess',Australian Citizens,Cruise Ship 'Diamond Princess'
Bürger Israels,Kreuzfahrtschiff 'Diamond Princess',Israeli Citizens,Cruise Ship 'Diamond Princess'
USA,Nebraska,USA,Nebraska
#Global,Afghanistan,#Global,Afghanistan
#Global,Bahrain,#Global,Bahrain
#Global,Irak,#Global,Iraq
#Global,Kuwait,#Global,Kuwait
#Global,Oman,#Global,Oman
Bürder der USA+,Kreuzfahrtschiff 'Grand Princess',US Citizens,Cruise Ship 'Grand Princess'
International,Kreuzfahrtschiff 'Grand Princess',International,Cruise Ship 'Grand Princess'
#Global,Algerien,#Global,Algeria
#Global,Kroatien,#Global,Croatia
#Global,Schweiz,#Global,Switzerland
#Global,Österreich,#Global,Austia
#Global,Brasilien,#Global,Brazil
#Global,Georgien,#Global,Georgia
#Global,Griechenland,#Global,Greece
#Global,Nordmazedonien,#Global,North Macedonia
#Global,Norwegen,#Global,Norway
#Global,Pakistan,#Global,Pakistan
#Global,Rumänien,#Global,Romania
#Global,Dänemark,#Global,Denmark
#Global,Estland,#Global,Estonia
#Global,Niederlande,#Global,Netherlands
#Global,San Marino,#Global,San Marino
#Global,Aserbaidschan,#Global,Azerbaijan
#Global,Belarus,#Global,Belarus
#Global,Island,#Global,Iceland
#Global,Litauen,#Global,Lithuania
#Global,Mexiko,#Global,Mexico
#Global,Neuseeland,#Global,New Zealand
#Global,Nigeria,#Global,Nigeria
Kanada,Québec,Canada,Québec
#Global,Irland,#Global,Ireland
#Global,Katar,#Global,Qatar
#Global,Luxemburg,#Global,Luxembourg
#Global,Monaco,#Global,Monaco
Australien,Western Australia,Australia,Western Australia
USA,Oregon,USA,Oregon
#Global,Armenien,#Global,Armenia
#Global,Dominikanische Republik,#Global,Dominican Republic
#Global,Ecuador,#Global,Ecuador
#Global,Tschechien,#Global,Czechia
USA,Rhode Island,USA,Rhode Island
#Global,Andorra,#Global,Andorra
#Global,Indonesien,#Global,Indonesia
#Global,Lettland,#Global,Latvia
#Global,Marokko,#Global,Morocco
#Global,Portugal,#Global,Portugal
#Global,Saudiarabien,#Global,Saudi Arabia
#Global,Senegal,#Global,Senegal
Australien,Tasmania,Australia,Tasmania
USA,Florida,USA,Florida
USA,New Hampshire,USA,New Hampshire
USA,New York,USA,New York
#Global,Argentinien,#Global,Argentina
#Global,Chile,#Global,Chile
#Global,Jordanien,#Global,Jordan
#Global,Ukraine,#Global,Ukraine
USA,Georgia,USA,Georgia
USA,North Carolina,USA,North Carolina
#Global,Liechtenstein,#Global,Liechtenstein
#Global,Polen,#Global,Poland
#Global,Tunesien,#Global,Tunisia
#Global,Ungarn,#Global,Hungary
Australien,Northern Territory,Australia,Northern Territory
Dänemark,Färöer,Denmark,Faroe Islands
Frankreich,Saint Barthélemy,France,Saint Barthélemy
Großbritannien,Gibraltar,United Kingdom,Gibraltar
#Global,Bosnien und Herzegowina,#Global,Bosnia and Herzegovina
#Global,Palästinensische Autonomiegebiete,#Global,Palestinian territories
#Global,Slowenien,#Global,Slovenia
#Global,Südafrika,#Global,South Africa
USA,Nevada,USA,Nevada
USA,New Jersey,USA,New Jersey
USA,Tennessee,USA,Tennessee
#Global,Bhutan,#Global,Bhutan
#Global,Costa Rica,#Global,Costa Rica
#Global,Kamerun,#Global,Cameroon
#Global,Kolumbien,#Global,Colombia
#Global,Peru,#Global,Peru
#Global,Serbien,#Global,Serbia
#Global,Slowakei,#Global,Slovakia
#Global,Togo,#Global,Togo
#Global,Vatikan,#Global,Vatican City
Kanada,Alberta,Canada,Alberta
USA,Colorado,USA,Colorado
USA,Indiana,USA,Indiana
USA,Kentucky,USA,Kentucky
USA,Maryland,USA,Maryland
USA,Minnesota,USA,Minnesota
USA,Pennsylvania,USA,Pennsylvania
#Global,Malta,#Global,Malta
Frankreich,Französisch-Guyana,France,French Guiana
Frankreich,Martinique,France,Martinique
USA,Connecticut,USA,Connecticut
USA,Hawaii,USA,Hawaii
USA,Oklahoma,USA,Oklahoma
USA,South Carolina,USA,South Carolina
USA,Utah,USA,Utah
#Global,Bangladesch,#Global,Bangladesh
#Global,Bulgarien,#Global,Bulgaria
#Global,Malediven,#Global,Maledives
#Global,Moldawien,#Global,Moldova
#Global,Paraguay,#Global,Paraguay
USA,District of Columbia,USA,District of Columbia
USA,Kansas,USA,Kansas
USA,Missouri,USA,Missouri
USA,Vermont,USA,Vermont
USA,Virginia,USA,Virginia
#Global,Albanien,#Global,Albania
#Global,Brunei,#Global,Brunei
#Global,Zypern,#Global,Cyprus
Frankreich,Saint Martin,France,Saint Martin
USA,Iowa,USA,Iowa
USA,Louisiana,USA,Louisiana
#Global,Burkina Faso,#Global,Burkina Faso
#Global,Mongolei,#Global,Mongolia
#Global,Panama,#Global,Panama
Bürger der USA,Kreuzfahrtschiff 'Diamond Princess',US Citizens,Cruise Ship 'Diamond Princess'
Großbritannien,Kanalinseln,United Kingdom,Channel Islands
USA,Ohio,USA,Ohio
#Global,Bolivien,#Global,Bolivia
#Global,Demokratische Republik Kongo,#Global,Democratic Republic of the Congo
#Global,Honduras,#Global,Honduras
#Global,Jamaika,#Global,Jamaica
#Global,Türkei,#Global,Turkey
Frankreich,Réunion,France,Réunion
Kanada,New Brunswick,Canada,New Brunswick
USA,Arkansas,USA,Arkansas
USA,Delaware,USA,Delaware
USA,Michigan,USA,Michigan
USA,Montana,USA,Montana
USA,New Mexico,USA,New Mexico
USA,South Dakota,USA,South Dakota
#Global,Guyana,#Global,Guyana
#Global,Kuba,#Global,Cuba
USA,Mississippi,USA,Mississippi
USA,North Dakota,USA,North Dakota
USA,Wyoming,USA,Wyoming
#Global,Antigua und Barbuda,#Global,Antigua and Barbuda
#Global,Gabon,#Global,Gabon
#Global,Ghana,#Global,Ghana
#Global,Guinea,#Global,Guinea
#Global,Kasachstan,#Global,Kazakhstan
#Global,Kenia,#Global,Kenya
#Global,Sudan,#Global,Sudan
#Global,Trinidad und Tobago,#Global,Trinidad and Tobago
#Global,Äthiopien,#Global,Ethiopia
Australien,Australisches Hauptstadtterritorium,Australia,Australian Capital Territory
Bürger Kanadas,Kreuzfahrtschiff 'Grand Princess',Canadian Citizens,Cruise Ship 'Grand Princess'
Frankreich,Französisch Polynesien,France,French Polynesia
Frankreich,Guadeloupe,France,Guadeloupe
Großbritannien,Cayman-Inseln,United Kingdom,Cayman Islands
Kanada,Manitoba,Canada,Manitoba
Kanada,Saskatchewan,Canada,Saskatchewan
Niederlande,Aruba,Netherlands,Aruba
USA,Alabama,USA,Alabama
USA,Alaska,USA,Alaska
USA,Idaho,USA,Idaho
USA,Maine,USA,Maine
USA,West Virginia,USA,West Virginia
#Global,Eswatini,#Global,Eswatini
#Global,Guatemala,#Global,Guatemala
#Global,Mauretanien,#Global,Mauritania
#Global,Mauritius,#Global,Mauritius
#Global,Namibia,#Global,Namibia
#Global,Ruanda,#Global,Rwanda
#Global,Seychellen,#Global,Seychelles
#Global,St. Lucia,#Global,St. Lucia
#Global,St. Vincent und die Grenadinen,#Global,Saint Vincent and the Grenadines
#Global,Suriname,#Global,Suriname
#Global,Uruguay,#Global,Uruguay
#Global,Venezuela,#Global,Venezuela
Niederlande,Curaçao,Netherlands,Curaçao
USA,Amerikanische Jungferninseln,USA,American Virgin Islands
USA,Puerto Rico,USA,Puerto Rico
#Global,Kosovo,#Global,Kosovo
#Global,Republik Kongo,#Global,Republic of the Congo
#Global,Usbekistan,#Global,Uzbekistan
#Global,Zentralafrikanische Republik,#Global,Central African Republic
#Global,Äquatorialguinea,#Global,Equatorial Guinea
Frankreich,Mayotte,France,Mayotte
Kanada,Neufundland und Labrador,Canada,Newfoundland and Labrador
Kanada,Prinz Edward Insel,Canada,Prince Edward Island
USA,Guam,USA,Guam
#Global,Bahamas,#Global,Bahamas
#Global,Benin,#Global,Benin
#Global,Liberia,#Global,Liberia
#Global,Somalia,#Global,Somalia
#Global,Tansania,#Global,Tanzania
Berlin,Charlottenburg-Wilmersdorf,Berlin,Charlottenburg-Wilmersdorf
Berlin,Friedrichshain-Kreuzberg,Berlin,Friedrichshain-Kreuzberg
Berlin,Lichtenberg,Berlin,Lichtenberg
Berlin,Marzahn-Hellersdorf,Berlin,Marzahn-Hellersdorf
Berlin,Mitte,Berlin,Mitte
Berlin,Neukölln,Berlin,Neukölln
Berlin,Pankow,Berlin,Pankow
Berlin,Reinickendorf,Berlin,Reinickendorf
Berlin,Spandau,Berlin,Spandau
Berlin,Steglitz-Zehlendorf,Berlin,Steglitz-Zehlendorf
Berlin,Tempelhof-Schöneberg,Berlin,Tempelhof-Schöneberg
Berlin,Treptow-Köpenick,Berlin,Treptow-Köpenick
Dänemark,Grönland,Denmark,Greenland
Kanada,Neuschottland,Canada,Nova Scotia
Niedersachsen,Ammerland (Kreis),Lower Saxony,Ammerland (Kreis)
Niedersachsen,Aurich (Kreis),Lower Saxony,Aurich (Kreis)
Niedersachsen,Braunschweig,Lower Saxony,Braunschweig
Niedersachsen,Celle (Kreis),Lower Saxony,Celle (Kreis)
Niedersachsen,Cloppenburg (Kreis),Lower Saxony,Cloppenburg (Kreis)
Niedersachsen,Cuxhaven (Kreis),Lower Saxony,Cuxhaven (Kreis)
Niedersachsen,Delmenhorst,Lower Saxony,Delmenhorst
Niedersachsen,Diepholz (Kreis),Lower Saxony,Diepholz (Kreis)
Niedersachsen,Emden,Lower Saxony,Emden
Niedersachsen,Emsland (Kreis),Lower Saxony,Emsland (Kreis)
Niedersachsen,Friesland (Kreis),Lower Saxony,Friesland (Kreis)
Niedersachsen,Gifhorn (Kreis),Lower Saxony,Gifhorn (Kreis)
Niedersachsen,Goslar (Kreis),Lower Saxony,Goslar (Kreis)
Niedersachsen,Grafschaft Bentheim (Kreis),Lower Saxony,Grafschaft Bentheim (Kreis)
Niedersachsen,Göttingen (Kreis),Lower Saxony,Göttingen (Kreis)
Niedersachsen,Hameln-Pyrmont (Kreis),Lower Saxony,Hameln-Pyrmont (Kreis)
Niedersachsen,Hannover (Region),Lower Saxony,Hannover (Region)
Niedersachsen,Harburg (Kreis),Lower Saxony,Harburg (Kreis)
Niedersachsen,Heidekreis (Kreis),Lower Saxony,Heidekreis (Kreis)
Niedersachsen,Helmstedt (Kreis),Lower Saxony,Helmstedt (Kreis)
Niedersachsen,Hildesheim (Kreis),Lower Saxony,Hildesheim (Kreis)
Niedersachsen,Holzminden (Kreis),Lower Saxony,Holzminden (Kreis)
Niedersachsen,Leer (Kreis),Lower Saxony,Leer (Kreis)
Niedersachsen,Lüchow-Dannenberg (Kreis),Lower Saxony,Lüchow-Dannenberg (Kreis)
Niedersachsen,Lüneburg (Kreis),Lower Saxony,Lüneburg (Kreis)
Niedersachsen,Nienburg/Weser (Kreis),Lower Saxony,Nienburg/Weser (Kreis)
Niedersachsen,Northeim (Kreis),Lower Saxony,Northeim (Kreis)
Niedersachsen,Oldenburg,Lower Saxony,Oldenburg
Niedersachsen,Oldenburg (Kreis),Lower Saxony,Oldenburg (Kreis)
Niedersachsen,Osnabrück,Lower Saxony,Osnabrück
Niedersachsen,Osnabrück (Kreis),Lower Saxony,Osnabrück (Kreis)
Niedersachsen,Osterholz (Kreis),Lower Saxony,Osterholz (Kreis)
Niedersachsen,Peine (Kreis),Lower Saxony,Peine (Kreis)
Niedersachsen,Rotenburg/Wümme (Kreis),Lower Saxony,Rotenburg/Wümme (Kreis)
Niedersachsen,Salzgitter,Lower Saxony,Salzgitter
Niedersachsen,Schaumburg (Kreis),Lower Saxony,Schaumburg (Kreis)
Niedersachsen,Stade (Kreis),Lower Saxony,Stade (Kreis)
Niedersachsen,Uelzen (Kreis),Lower Saxony,Uelzen (Kreis)
Niedersachsen,Vechta (Kreis),Lower Saxony,Vechta (Kreis)
Niedersachsen,Verden (Kreis),Lower Saxony,Verden (Kreis)
Niedersachsen,Wesermarsch (Kreis),Lower Saxony,Wesermarsch (Kreis)
Niedersachsen,Wilhelmshaven,Lower Saxony,Wilhelmshaven
Niedersachsen,Wittmund (Kreis),Lower Saxony,Wittmund (Kreis)
Niedersachsen,Wolfenbüttel (Kreis),Lower Saxony,Wolfenbüttel (Kreis)
Niedersachsen,Wolfsburg,Lower Saxony,Wolfsburg
Nordrhein-Westfalen,Aachen & Städteregion Aachen,North Rhine-Westphalia,Aachen & Städteregion Aachen
Nordrhein-Westfalen,Bielefeld,North Rhine-Westphalia,Bielefeld
Nordrhein-Westfalen,Bochum,North Rhine-Westphalia,Bochum
Nordrhein-Westfalen,Bonn,North Rhine-Westphalia,Bonn
Nordrhein-Westfalen,Borken (Kreis),North Rhine-Westphalia,Borken (Kreis)
Nordrhein-Westfalen,Bottrop,North Rhine-Westphalia,Bottrop
Nordrhein-Westfalen,Coesfeld (Kreis),North Rhine-Westphalia,Coesfeld (Kreis)
Nordrhein-Westfalen,Dortmund,North Rhine-Westphalia,Dortmund
Nordrhein-Westfalen,Duisburg,North Rhine-Westphalia,Duisburg
Nordrhein-Westfalen,Düren (Kreis),North Rhine-Westphalia,Düren (Kreis)
Nordrhein-Westfalen,Düsseldorf,North Rhine-Westphalia,Düsseldorf
Nordrhein-Westfalen,Ennepe-Ruhr-Kreis,North Rhine-Westphalia,Ennepe-Ruhr-Kreis
Nordrhein-Westfalen,Essen,North Rhine-Westphalia,Essen
Nordrhein-Westfalen,Euskirchen (Kreis),North Rhine-Westphalia,Euskirchen (Kreis)
Nordrhein-Westfalen,Gelsenkirchen,North Rhine-Westphalia,Gelsenkirchen
Nordrhein-Westfalen,Gütersloh (Kreis),North Rhine-Westphalia,Gütersloh (Kreis)
Nordrhein-Westfalen,Hagen,North Rhine-Westphalia,Hagen
Nordrhein-Westfalen,Hamm,North Rhine-Westphalia,Hamm
Nordrhein-Westfalen,Heinsberg (Kreis),North Rhine-Westphalia,Heinsberg (Kreis)
Nordrhein-Westfalen,Herford (Kreis),North Rhine-Westphalia,Herford (Kreis)
Nordrhein-Westfalen,Herne,North Rhine-Westphalia,Herne
Nordrhein-Westfalen,Hochsauerlandkreis,North Rhine-Westphalia,Hochsauerlandkreis
Nordrhein-Westfalen,Höxter (Kreis),North Rhine-Westphalia,Höxter (Kreis)
Nordrhein-Westfalen,Kleve (Kreis),North Rhine-Westphalia,Kleve (Kreis)
Nordrhein-Westfalen,Krefeld,North Rhine-Westphalia,Krefeld
Nordrhein-Westfalen,Köln,North Rhine-Westphalia,Köln
Nordrhein-Westfalen,Leverkusen,North Rhine-Westphalia,Leverkusen
Nordrhein-Westfalen,Lippe (Kreis),North Rhine-Westphalia,Lippe (Kreis)
Nordrhein-Westfalen,Mettmann (Kreis),North Rhine-Westphalia,Mettmann (Kreis)
Nordrhein-Westfalen,Minden-Lübbecke (Kreis),North Rhine-Westphalia,Minden-Lübbecke (Kreis)
Nordrhein-Westfalen,Märkischer Kreis,North Rhine-Westphalia,Märkischer Kreis
Nordrhein-Westfalen,Mönchengladbach,North Rhine-Westphalia,Mönchengladbach
Nordrhein-Westfalen,Mülheim an der Ruhr,North Rhine-Westphalia,Mülheim an der Ruhr
Nordrhein-Westfalen,Münster,North Rhine-Westphalia,Münster
Nordrhein-Westfalen,Oberbergischer Kreis,North Rhine-Westphalia,Oberbergischer Kreis
Nordrhein-Westfalen,Oberhausen,North Rhine-Westphalia,Oberhausen
Nordrhein-Westfalen,Olpe (Kreis),North Rhine-Westphalia,Olpe (Kreis)
Nordrhein-Westfalen,Paderborn (Kreis),North Rhine-Westphalia,Paderborn (Kreis)
Nordrhein-Westfalen,Recklinghausen (Kreis),North Rhine-Westphalia,Recklinghausen (Kreis)
Nordrhein-Westfalen,Remscheid,North Rhine-Westphalia,Remscheid
Nordrhein-Westfalen,Rhein-Erft-Kreis,North Rhine-Westphalia,Rhein-Erft-Kreis
Nordrhein-Westfalen,Rhein-Kreis Neuss,North Rhine-Westphalia,Rhein-Kreis Neuss
Nordrhein-Westfalen,Rhein-Sieg-Kreis,North Rhine-Westphalia,Rhein-Sieg-Kreis
Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,North Rhine-Westphalia,Rheinisch-Bergischer Kreis
Nordrhein-Westfalen,Siegen-Wittgenstein (Kreis),North Rhine-Westphalia,Siegen-Wittgenstein (Kreis)
Nordrhein-Westfalen,Soest (Kreis),North Rhine-Westphalia,Soest (Kreis)
Nordrhein-Westfalen,Solingen,North Rhine-Westphalia,Solingen
Nordrhein-Westfalen,Steinfurt (Kreis),North Rhine-Westphalia,Steinfurt (Kreis)
Nordrhein-Westfalen,Unna (Kreis),North Rhine-Westphalia,Unna (Kreis)
Nordrhein-Westfalen,Viersen (Kreis),North Rhine-Westphalia,Viersen (Kreis)
Nordrhein-Westfalen,Warendorf (Kreis),North Rhine-Westphalia,Warendorf (Kreis)
Nordrhein-Westfalen,Wesel (Kreis),North Rhine-Westphalia,Wesel (Kreis)
Nordrhein-Westfalen,Wuppertal,North Rhine-Westphalia,Wuppertal
Thüringen,Altenburger Land (Kreis),Thuringia,Altenburger Land (Kreis)
Thüringen,Eichsfeld (Kreis),Thuringia,Eichsfeld (Kreis)
Thüringen,Eisenach,Thuringia,Eisenach
Thüringen,Erfurt,Thuringia,Erfurt
Thüringen,Gera,Thuringia,Gera
Thüringen,Gotha (Kreis),Thuringia,Gotha (Kreis)
Thüringen,Greiz (Kreis),Thuringia,Greiz (Kreis)
Thüringen,Hildburghausen (Kreis),Thuringia,Hildburghausen (Kreis)
Thüringen,Ilm-Kreis,Thuringia,Ilm-Kreis
Thüringen,Jena,Thuringia,Jena
Thüringen,Kyffhäuserkreis,Thuringia,Kyffhäuserkreis
Thüringen,Nordhausen (Kreis),Thuringia,Nordhausen (Kreis)
Thüringen,Saale-Holzland-Kreis,Thuringia,Saale-Holzland-Kreis
Thüringen,Saale-Orla-Kreis,Thuringia,Saale-Orla-Kreis
Thüringen,Saalfeld-Rudolstadt (Kreis),Thuringia,Saalfeld-Rudolstadt (Kreis)
Thüringen,Schmalkalden-Meiningen (Kreis),Thuringia,Schmalkalden-Meiningen (Kreis)
Thüringen,Sonneberg (Kreis),Thuringia,Sonneberg (Kreis)
Thüringen,Suhl,Thuringia,Suhl
Thüringen,Sömmerda(Kreis),Thuringia,Sömmerda(Kreis)
Thüringen,Unstrut-Hainich-Kreis,Thuringia,Unstrut-Hainich-Kreis
Thüringen,Wartburgkreis,Thuringia,Wartburgkreis
Thüringen,Weimar,Thuringia,Weimar
Thüringen,Weimarer Land (Kreis),Thuringia,Weimarer Land (Kreis)
#Global,Barbados,#Global,Barbados
#Global,Gambia,#Global,Gambia
#Global,Montenegro,#Global,Montenegro
#Global,Dschibuti,#Global,Djibouti
#Global,Kirgisistan,#Global,Kyrgyzstan
#Global,Sambia,#Global,Zambia
Großbritannien,Montserrat,United Kingdom,Montserrat
USA,Sonstige,USA,other
#Global,El Salvador,#Global,El Salvador
#Global,Fidschi,#Global,Fiji
#Global,Nicaragua,#Global,Nicaragua
#Global,Tschad,#Global,Chad
Frankreich,Neukaledonien,France,New Caledonia
Großbritannien,Bermuda,United Kingdom,Bermuda
#Global,Angola,#Global,Angola
#Global,Haiti,#Global,Haiti
#Global,Kap Verde,#Global,Cape Verde
