label_parent,label,label_parent_en,label_en
#Global,Madagaskar,#Global,Madagascar
#Global,Niger,#Global,Niger
#Global,Papua-Neuguinea,#Global,Papua New Guinea
#Global,Simbabwe,#Global,Zimbabwe
Großbritannien,Isle of Man,United Kingdom,Isle of Man
Niederlande,Sint Maarten,Netherlands,Sint Maarten
#Global,Eritrea,#Global,Eritrea
#Global,Osttimor,#Global,East Timor
#Global,Uganda,#Global,Uganda
Kanada,Nordwest-Territorien,Canada,Northwest Territories
#Global,Dominica,#Global,Dominica
#Global,Grenada,#Global,Grenada
#Global,Mosambik,#Global,Mozambique
#Global,Syrien,#Global,Syria
#Global,Belize,#Global,Belize
Baden-Württemberg,Alb-Donau-Kreis,Baden-Württemberg,Alb-Donau-Kreis
Baden-Württemberg,Baden-Baden,Baden-Württemberg,Baden-Baden
Baden-Württemberg,Biberach (Kreis),Baden-Württemberg,Biberach (Kreis)
Baden-Württemberg,Bodenseekreis,Baden-Württemberg,Bodenseekreis
Baden-Württemberg,Breisgau-Hochschwarzwald (Kreis),Baden-Württemberg,Breisgau-Hochschwarzwald (Kreis)
Baden-Württemberg,Böblingen (Kreis),Baden-Württemberg,Böblingen (Kreis)
Baden-Württemberg,Calw (Kreis),Baden-Württemberg,Calw (Kreis)
Baden-Württemberg,Emmendingen (Kreis),Baden-Württemberg,Emmendingen (Kreis)
Baden-Württemberg,Enzkreis,Baden-Württemberg,Enzkreis
Baden-Württemberg,Esslingen (Kreis),Baden-Württemberg,Esslingen (Kreis)
Baden-Württemberg,Freiburg im Breisgau,Baden-Württemberg,Freiburg im Breisgau
Baden-Württemberg,Freudenstadt (Kreis),Baden-Württemberg,Freudenstadt (Kreis)
Baden-Württemberg,Göppingen (Kreis),Baden-Württemberg,Göppingen (Kreis)
Baden-Württemberg,Heidelberg,Baden-Württemberg,Heidelberg
Baden-Württemberg,Heidenheim (Kreis),Baden-Württemberg,Heidenheim (Kreis)
Baden-Württemberg,Heilbronn,Baden-Württemberg,Heilbronn
Baden-Württemberg,Heilbronn (Kreis),Baden-Württemberg,Heilbronn (Kreis)
Baden-Württemberg,Hohenlohekreis,Baden-Württemberg,Hohenlohekreis
Baden-Württemberg,Karlsruhe,Baden-Württemberg,Karlsruhe
Baden-Württemberg,Karlsruhe (Kreis),Baden-Württemberg,Karlsruhe (Kreis)
Baden-Württemberg,Konstanz (Kreis),Baden-Württemberg,Konstanz (Kreis)
Baden-Württemberg,Ludwigsburg (Kreis),Baden-Württemberg,Ludwigsburg (Kreis)
Baden-Württemberg,Lörrach (Kreis),Baden-Württemberg,Lörrach (Kreis)
Baden-Württemberg,Main-Tauber-Kreis,Baden-Württemberg,Main-Tauber-Kreis
Baden-Württemberg,Mannheim,Baden-Württemberg,Mannheim
Baden-Württemberg,Neckar-Odenwald-Kreis,Baden-Württemberg,Neckar-Odenwald-Kreis
Baden-Württemberg,Ortenaukreis,Baden-Württemberg,Ortenaukreis
Baden-Württemberg,Ostalbkreis,Baden-Württemberg,Ostalbkreis
Baden-Württemberg,Pforzheim,Baden-Württemberg,Pforzheim
Baden-Württemberg,Rastatt (Kreis),Baden-Württemberg,Rastatt (Kreis)
Baden-Württemberg,Ravensburg (Kreis),Baden-Württemberg,Ravensburg (Kreis)
Baden-Württemberg,Rems-Murr-Kreis,Baden-Württemberg,Rems-Murr-Kreis
Baden-Württemberg,Reutlingen (Kreis),Baden-Württemberg,Reutlingen (Kreis)
Baden-Württemberg,Rhein-Neckar-Kreis,Baden-Württemberg,Rhein-Neckar-Kreis
Baden-Württemberg,Rottweil (Kreis),Baden-Württemberg,Rottweil (Kreis)
Baden-Württemberg,Schwarzwald-Baar-Kreis,Baden-Württemberg,Schwarzwald-Baar-Kreis
Baden-Württemberg,Schwäbisch Hall (Kreis),Baden-Württemberg,Schwäbisch Hall (Kreis)
Baden-Württemberg,Sigmaringen (Kreis),Baden-Württemberg,Sigmaringen (Kreis)
Baden-Württemberg,Stuttgart (Kreis),Baden-Württemberg,Stuttgart (Kreis)
Baden-Württemberg,Tuttlingen (Kreis),Baden-Württemberg,Tuttlingen (Kreis)
Baden-Württemberg,Tübingen (Kreis),Baden-Württemberg,Tübingen (Kreis)
Baden-Württemberg,Ulm,Baden-Württemberg,Ulm
Baden-Württemberg,Waldshut (Kreis),Baden-Württemberg,Waldshut (Kreis)
Baden-Württemberg,Zollernalbkreis,Baden-Württemberg,Zollernalbkreis
Bayern,Aichach-Friedberg (Kreis),Bavaria,Aichach-Friedberg (Kreis)
Bayern,Altötting (Kreis),Bavaria,Altötting (Kreis)
Bayern,Amberg,Bavaria,Amberg
Bayern,Amberg-Sulzbach (Kreis),Bavaria,Amberg-Sulzbach (Kreis)
Bayern,Ansbach,Bavaria,Ansbach
Bayern,Ansbach (Kreis),Bavaria,Ansbach (Kreis)
Bayern,Aschaffenburg,Bavaria,Aschaffenburg
Bayern,Aschaffenburg (Kreis),Bavaria,Aschaffenburg (Kreis)
Bayern,Augsburg,Bavaria,Augsburg
Bayern,Augsburg (Kreis),Bavaria,Augsburg (Kreis)
Bayern,Bad Kissingen (Kreis),Bavaria,Bad Kissingen (Kreis)
Bayern,Bad Tölz (Kreis),Bavaria,Bad Tölz (Kreis)
Bayern,Bamberg,Bavaria,Bamberg
Bayern,Bamberg (Kreis),Bavaria,Bamberg (Kreis)
Bayern,Bayreuth,Bavaria,Bayreuth
Bayern,Bayreuth (Kreis),Bavaria,Bayreuth (Kreis)
Bayern,Berchtesgadener Land (Kreis),Bavaria,Berchtesgadener Land (Kreis)
Bayern,Cham (Kreis),Bavaria,Cham (Kreis)
Bayern,Coburg (Kreis),Bavaria,Coburg (Kreis)
Bayern,Dachau (Kreis),Bavaria,Dachau (Kreis)
Bayern,Deggendorf (Kreis),Bavaria,Deggendorf (Kreis)
Bayern,Dillingen a.d. Donau (Kreis),Bavaria,Dillingen a.d. Donau (Kreis)
Bayern,Dingolfing-Landau (Kreis),Bavaria,Dingolfing-Landau (Kreis)
Bayern,Donau-Ries (Kreis),Bavaria,Donau-Ries (Kreis)
Bayern,Ebersberg (Kreis),Bavaria,Ebersberg (Kreis)
Bayern,Eichstätt (Kreis),Bavaria,Eichstätt (Kreis)
Bayern,Erding (Kreis),Bavaria,Erding (Kreis)
Bayern,Erlangen,Bavaria,Erlangen
Bayern,Erlangen-Höchstadt,Bavaria,Erlangen-Höchstadt
Bayern,Forchheim (Kreis),Bavaria,Forchheim (Kreis)
Bayern,Freising (Kreis),Bavaria,Freising (Kreis)
Bayern,Freyung-Grafenau (Kreis),Bavaria,Freyung-Grafenau (Kreis)
Bayern,Fürstenfeldbruck (Kreis),Bavaria,Fürstenfeldbruck (Kreis)
Bayern,Fürth,Bavaria,Fürth
Bayern,Fürth (Kreis),Bavaria,Fürth (Kreis)
Bayern,Garmisch-Partenkirchen (Kreis),Bavaria,Garmisch-Partenkirchen (Kreis)
Bayern,Günzburg (Kreis),Bavaria,Günzburg (Kreis)
Bayern,Haßberge (Kreis),Bavaria,Haßberge (Kreis)
Bayern,Hof,Bavaria,Hof
Bayern,Hof (Kreis),Bavaria,Hof (Kreis)
Bayern,Ingolstadt,Bavaria,Ingolstadt
Bayern,Kaufbeuren,Bavaria,Kaufbeuren
Bayern,Kelheim (Kreis),Bavaria,Kelheim (Kreis)
Bayern,Kitzingen (Kreis),Bavaria,Kitzingen (Kreis)
Bayern,Kronach (Kreis),Bavaria,Kronach (Kreis)
Bayern,Kulmbach (Kreis),Bavaria,Kulmbach (Kreis)
Bayern,Landsberg am Lech (Kreis),Bavaria,Landsberg am Lech (Kreis)
Bayern,Landshut,Bavaria,Landshut
Bayern,Landshut (Kreis),Bavaria,Landshut (Kreis)
Bayern,Lichtenfels (Kreis),Bavaria,Lichtenfels (Kreis)
Bayern,Lindau/Bodensee (Kreis),Bavaria,Lindau/Bodensee (Kreis)
Bayern,Main-Spessart (Kreis),Bavaria,Main-Spessart (Kreis)
Bayern,Memmingen,Bavaria,Memmingen
Bayern,Miesbach (Kreis),Bavaria,Miesbach (Kreis)
Bayern,Miltenberg (Kreis),Bavaria,Miltenberg (Kreis)
Bayern,Mühldorf a.Inn (Kreis),Bavaria,Mühldorf a.Inn (Kreis)
Bayern,München,Bavaria,München
Bayern,München (Kreis),Bavaria,München (Kreis)
Bayern,Neu-Ulm (Kreis),Bavaria,Neu-Ulm (Kreis)
Bayern,Neuburg-Schrobenhausen (Kreis),Bavaria,Neuburg-Schrobenhausen (Kreis)
Bayern,Neumarkt i.d.Opf. (Kreis),Bavaria,Neumarkt i.d.Opf. (Kreis)
Bayern,Neustadt a.d. Aisch-Bad Windsheim,Bavaria,Neustadt a.d. Aisch-Bad Windsheim
Bayern,Neustadt a.d. Waldnaab,Bavaria,Neustadt a.d. Waldnaab
Bayern,Nürnberg,Bavaria,Nürnberg
Bayern,Nürnberger Land (Kreis),Bavaria,Nürnberger Land (Kreis)
Bayern,Oberallgäu (Kreis),Bavaria,Oberallgäu (Kreis)
Bayern,Ostallgäu (Kreis),Bavaria,Ostallgäu (Kreis)
Bayern,Passau,Bavaria,Passau
Bayern,Passau (Kreis),Bavaria,Passau (Kreis)
Bayern,Pfaffenhofen a.d.Ilm (Kreis),Bavaria,Pfaffenhofen a.d.Ilm (Kreis)
Bayern,Regen (Kreis),Bavaria,Regen (Kreis)
Bayern,Regensburg,Bavaria,Regensburg
Bayern,Regensburg (Kreis),Bavaria,Regensburg (Kreis)
Bayern,Rhön-Grabfeld (Kreis),Bavaria,Rhön-Grabfeld (Kreis)
Bayern,Rosenheim,Bavaria,Rosenheim
Bayern,Rosenheim (Kreis),Bavaria,Rosenheim (Kreis)
Bayern,Roth (Kreis),Bavaria,Roth (Kreis)
Bayern,Rottal-Inn (Kreis),Bavaria,Rottal-Inn (Kreis)
Bayern,Schwabach,Bavaria,Schwabach
Bayern,Schwandorf (Kreis),Bavaria,Schwandorf (Kreis)
Bayern,Schweinfurt,Bavaria,Schweinfurt
Bayern,Schweinfurt (Kreis),Bavaria,Schweinfurt (Kreis)
Bayern,Starnberg (Kreis),Bavaria,Starnberg (Kreis)
Bayern,Straubing,Bavaria,Straubing
Bayern,Straubing-Bogen (Kreis),Bavaria,Straubing-Bogen (Kreis)
Bayern,Tirschenreuth (Kreis),Bavaria,Tirschenreuth (Kreis)
Bayern,Traunstein (Kreis),Bavaria,Traunstein (Kreis)
Bayern,Unterallgäu (Kreis),Bavaria,Unterallgäu (Kreis)
Bayern,Weiden,Bavaria,Weiden
Bayern,Weilheim-Schongau (Kreis),Bavaria,Weilheim-Schongau (Kreis)
Bayern,Weißenburg-Gunzenhausen (Kreis),Bavaria,Weißenburg-Gunzenhausen (Kreis)
Bayern,Wunsiedel i.Fichtelgebirge (Kreis),Bavaria,Wunsiedel i.Fichtelgebirge (Kreis)
Bayern,Würzburg,Bavaria,Würzburg
Bayern,Würzburg (Kreis),Bavaria,Würzburg (Kreis)
Brandenburg,Barnim (Kreis),Brandenburg,Barnim (Kreis)
Brandenburg,Brandenburg a. d. Havel,Brandenburg,Brandenburg a. d. Havel
Brandenburg,Cottbus,Brandenburg,Cottbus
Brandenburg,Dahme-Spreewald (Kreis),Brandenburg,Dahme-Spreewald (Kreis)
Brandenburg,Elbe-Elster (Kreis),Brandenburg,Elbe-Elster (Kreis)
Brandenburg,Frankfurt (Oder),Brandenburg,Frankfurt (Oder)
Brandenburg,Havelland (Kreis),Brandenburg,Havelland (Kreis)
Brandenburg,Märkisch-Oderland (Kreis),Brandenburg,Märkisch-Oderland (Kreis)
Brandenburg,Oberhavel (Kreis),Brandenburg,Oberhavel (Kreis)
Brandenburg,Oberspreewald-Lausitz (Kreis),Brandenburg,Oberspreewald-Lausitz (Kreis)
Brandenburg,Oder-Spree (Kreis),Brandenburg,Oder-Spree (Kreis)
Brandenburg,Ostprignitz-Ruppin,Brandenburg,Ostprignitz-Ruppin
Brandenburg,Potsdam,Brandenburg,Potsdam
Brandenburg,Potsdam-Mittelmark (Kreis),Brandenburg,Potsdam-Mittelmark (Kreis)
Brandenburg,Prignitz (Kreis),Brandenburg,Prignitz (Kreis)
Brandenburg,Spree-Neiße (Kreis),Brandenburg,Spree-Neiße (Kreis)
Brandenburg,Teltow-Fläming (Kreis),Brandenburg,Teltow-Fläming (Kreis)
Brandenburg,Uckermark (Kreis),Brandenburg,Uckermark (Kreis)
Bremen,Bremen,Bremen,Bremen
Bremen,Bremerhaven,Bremen,Bremerhaven
Hessen,Bergstraße (Kreis),Hesse,Bergstraße (Kreis)
Hessen,Darmstadt,Hesse,Darmstadt
Hessen,Darmstadt-Dieburg (Kreis),Hesse,Darmstadt-Dieburg (Kreis)
Hessen,Frankfurt am Main,Hesse,Frankfurt am Main
Hessen,Fulda (Kreis),Hesse,Fulda (Kreis)
Hessen,Gießen (Kreis),Hesse,Gießen (Kreis)
Hessen,Groß-Gerau (Kreis),Hesse,Groß-Gerau (Kreis)
Hessen,Hersfeld-Rotenburg (Kreis),Hesse,Hersfeld-Rotenburg (Kreis)
Hessen,Hochtaunuskreis,Hesse,Hochtaunuskreis
Hessen,Kassel,Hesse,Kassel
Hessen,Kassel (Kreis),Hesse,Kassel (Kreis)
Hessen,Lahn-Dill-Kreis,Hesse,Lahn-Dill-Kreis
Hessen,Limburg-Weilburg (Kreis),Hesse,Limburg-Weilburg (Kreis)
Hessen,Main-Kinzig-Kreis,Hesse,Main-Kinzig-Kreis
Hessen,Main-Taunus-Kreis,Hesse,Main-Taunus-Kreis
Hessen,Marburg-Biedenkopf (Kreis),Hesse,Marburg-Biedenkopf (Kreis)
Hessen,Odenwaldkreis,Hesse,Odenwaldkreis
Hessen,Offenbach,Hesse,Offenbach
Hessen,Offenbach (Kreis),Hesse,Offenbach (Kreis)
Hessen,Rheingau-Taunus-Kreis,Hesse,Rheingau-Taunus-Kreis
Hessen,Schwalm-Eder-Kreis,Hesse,Schwalm-Eder-Kreis
Hessen,Vogelsbergkreis,Hesse,Vogelsbergkreis
Hessen,Waldeck-Frankenberg (Kreis),Hesse,Waldeck-Frankenberg (Kreis)
Hessen,Werra-Meißner-Kreis,Hesse,Werra-Meißner-Kreis
Hessen,Wetteraukreis,Hesse,Wetteraukreis
Hessen,Wiesbaden,Hesse,Wiesbaden
Mecklenburg-Vorpommern,Ludwigslust-Parchim (Kreis),Mecklenburg-Western Pomerania,Ludwigslust-Parchim (Kreis)
Mecklenburg-Vorpommern,Mecklenburgische Seenplatte (Kreis),Mecklenburg-Western Pomerania,Mecklenburgische Seenplatte (Kreis)
Mecklenburg-Vorpommern,Nordwestmecklenburg (Kreis),Mecklenburg-Western Pomerania,Nordwestmecklenburg (Kreis)
Mecklenburg-Vorpommern,Rostock,Mecklenburg-Western Pomerania,Rostock
Mecklenburg-Vorpommern,Rostock (Kreis),Mecklenburg-Western Pomerania,Rostock (Kreis)
Mecklenburg-Vorpommern,Schwerin,Mecklenburg-Western Pomerania,Schwerin
Mecklenburg-Vorpommern,Vorpommern-Greifswald (Kreis),Mecklenburg-Western Pomerania,Vorpommern-Greifswald (Kreis)
Mecklenburg-Vorpommern,Vorpommern-Rügen (Kreis),Mecklenburg-Western Pomerania,Vorpommern-Rügen (Kreis)
Rheinland-Pfalz,Ahrweiler (Kreis),Rhineland-Palatinate,Ahrweiler (Kreis)
Rheinland-Pfalz,Altenkirchen (Kreis),Rhineland-Palatinate,Altenkirchen (Kreis)
Rheinland-Pfalz,Alzey-Worms (Kreis),Rhineland-Palatinate,Alzey-Worms (Kreis)
Rheinland-Pfalz,Bad Dürkheim (Kreis),Rhineland-Palatinate,Bad Dürkheim (Kreis)
Rheinland-Pfalz,Bad Kreuznach (Kreis),Rhineland-Palatinate,Bad Kreuznach (Kreis)
Rheinland-Pfalz,Bernkastel-Wittlich (Kreis),Rhineland-Palatinate,Bernkastel-Wittlich (Kreis)
Rheinland-Pfalz,Birkenfeld (Kreis),Rhineland-Palatinate,Birkenfeld (Kreis)
Rheinland-Pfalz,Bitburg-Prüm (Kreis),Rhineland-Palatinate,Bitburg-Prüm (Kreis)
Rheinland-Pfalz,Cochem-Zell (Kreis),Rhineland-Palatinate,Cochem-Zell (Kreis)
Rheinland-Pfalz,Donnersbergkreis,Rhineland-Palatinate,Donnersbergkreis
Rheinland-Pfalz,Frankenthal,Rhineland-Palatinate,Frankenthal
Rheinland-Pfalz,Germersheim (Kreis),Rhineland-Palatinate,Germersheim (Kreis)
Rheinland-Pfalz,Kaiserslautern,Rhineland-Palatinate,Kaiserslautern
Rheinland-Pfalz,Kaiserslautern (Kreis),Rhineland-Palatinate,Kaiserslautern (Kreis)
Rheinland-Pfalz,Koblenz,Rhineland-Palatinate,Koblenz
Rheinland-Pfalz,Kusel (Kreis),Rhineland-Palatinate,Kusel (Kreis)
Rheinland-Pfalz,Landau i.d.Pfalz,Rhineland-Palatinate,Landau i.d.Pfalz
Rheinland-Pfalz,Ludwigshafen,Rhineland-Palatinate,Ludwigshafen
Rheinland-Pfalz,Mainz,Rhineland-Palatinate,Mainz
Rheinland-Pfalz,Mainz-Bingen (Kreis),Rhineland-Palatinate,Mainz-Bingen (Kreis)
Rheinland-Pfalz,Mayen-Koblenz (Kreis),Rhineland-Palatinate,Mayen-Koblenz (Kreis)
Rheinland-Pfalz,Neustadt Weinst.,Rhineland-Palatinate,Neustadt Weinst.
Rheinland-Pfalz,Neuwied (Kreis),Rhineland-Palatinate,Neuwied (Kreis)
Rheinland-Pfalz,Pirmasens,Rhineland-Palatinate,Pirmasens
Rheinland-Pfalz,Rhein-Hunsrück (Kreis),Rhineland-Palatinate,Rhein-Hunsrück (Kreis)
Rheinland-Pfalz,Rhein-Lahn-Kreis,Rhineland-Palatinate,Rhein-Lahn-Kreis
Rheinland-Pfalz,Rhein-Pfalz-Kreis,Rhineland-Palatinate,Rhein-Pfalz-Kreis
Rheinland-Pfalz,Speyer,Rhineland-Palatinate,Speyer
Rheinland-Pfalz,Südliche Weinstr. (Kreis),Rhineland-Palatinate,Südliche Weinstr. (Kreis)
Rheinland-Pfalz,Südwestpfalz (Kreis),Rhineland-Palatinate,Südwestpfalz (Kreis)
Rheinland-Pfalz,Trier,Rhineland-Palatinate,Trier
Rheinland-Pfalz,Trier-Saarburg (Kreis),Rhineland-Palatinate,Trier-Saarburg (Kreis)
Rheinland-Pfalz,Vulkaneifel (Kreis),Rhineland-Palatinate,Vulkaneifel (Kreis)
Rheinland-Pfalz,Westerwaldkreis,Rhineland-Palatinate,Westerwaldkreis
Rheinland-Pfalz,Worms,Rhineland-Palatinate,Worms
Rheinland-Pfalz,Zweibrücken,Rhineland-Palatinate,Zweibrücken
Saarland,Merzig-Wadern,Saarland,Merzig-Wadern
Saarland,Neunkirchen,Saarland,Neunkirchen
Saarland,Saarbrücken,Saarland,Saarbrücken
Saarland,Saarlouis,Saarland,Saarlouis
Saarland,Saarpfalz,Saarland,Saarpfalz
Saarland,St. Wendel,Saarland,St. Wendel
Sachsen,Bautzen (Kreis),Saxony,Bautzen (Kreis)
Sachsen,Chemnitz,Saxony,Chemnitz
Sachsen,Dresden,Saxony,Dresden
Sachsen,Erzgebirgskreis,Saxony,Erzgebirgskreis
Sachsen,Görlitz (Kreis),Saxony,Görlitz (Kreis)
Sachsen,Leipzig,Saxony,Leipzig
Sachsen,Leipzig (Kreis),Saxony,Leipzig (Kreis)
Sachsen,Meißen (Kreis),Saxony,Meißen (Kreis)
Sachsen,Mittelsachsen (Kreis),Saxony,Mittelsachsen (Kreis)
Sachsen,Nordsachsen (Kreis),Saxony,Nordsachsen (Kreis)
Sachsen,Sächsische Schweiz-Osterzgebirge (Kreis),Saxony,Sächsische Schweiz-Osterzgebirge (Kreis)
Sachsen,Vogtlandkreis,Saxony,Vogtlandkreis
Sachsen,Zwickau (Kreis),Saxony,Zwickau (Kreis)
Sachsen-Anhalt,Altmarkkreis Salzwedel,Saxony-Anhalt,Altmarkkreis Salzwedel
Sachsen-Anhalt,Anhalt-Bitterfeld (Kreis),Saxony-Anhalt,Anhalt-Bitterfeld (Kreis)
Sachsen-Anhalt,Burgenlandkreis,Saxony-Anhalt,Burgenlandkreis
Sachsen-Anhalt,Börde (Kreis),Saxony-Anhalt,Börde (Kreis)
Sachsen-Anhalt,Dessau,Saxony-Anhalt,Dessau
Sachsen-Anhalt,Halle,Saxony-Anhalt,Halle
Sachsen-Anhalt,Harz (Kreis),Saxony-Anhalt,Harz (Kreis)
Sachsen-Anhalt,Jerichower Land (Kreis),Saxony-Anhalt,Jerichower Land (Kreis)
Sachsen-Anhalt,Magdeburg,Saxony-Anhalt,Magdeburg
Sachsen-Anhalt,Mansfeld-Südharz (Kreis),Saxony-Anhalt,Mansfeld-Südharz (Kreis)
Sachsen-Anhalt,Saalekreis,Saxony-Anhalt,Saalekreis
Sachsen-Anhalt,Salzlandkreis,Saxony-Anhalt,Salzlandkreis
Sachsen-Anhalt,Stendal (Kreis),Saxony-Anhalt,Stendal (Kreis)
Sachsen-Anhalt,Wittenberg (Kreis),Saxony-Anhalt,Wittenberg (Kreis)
Schleswig-Holstein,Dithmarschen (Kreis),Sleswick-Holsatia,Dithmarschen (Kreis)
Schleswig-Holstein,Flensburg,Sleswick-Holsatia,Flensburg
Schleswig-Holstein,Herzogtum Lauenburg (Kreis),Sleswick-Holsatia,Herzogtum Lauenburg (Kreis)
Schleswig-Holstein,Kiel,Sleswick-Holsatia,Kiel
Schleswig-Holstein,Lübeck,Sleswick-Holsatia,Lübeck
Schleswig-Holstein,Neumünster,Sleswick-Holsatia,Neumünster
Schleswig-Holstein,Nordfriesland (Kreis),Sleswick-Holsatia,Nordfriesland (Kreis)
Schleswig-Holstein,Ostholstein (Kreis),Sleswick-Holsatia,Ostholstein (Kreis)
Schleswig-Holstein,Pinneberg (Kreis),Sleswick-Holsatia,Pinneberg (Kreis)
Schleswig-Holstein,Plön (Kreis),Sleswick-Holsatia,Plön (Kreis)
Schleswig-Holstein,Rendsburg-Eckernförde (Kreis),Sleswick-Holsatia,Rendsburg-Eckernförde (Kreis)
Schleswig-Holstein,Schleswig-Flensburg (Kreis),Sleswick-Holsatia,Schleswig-Flensburg (Kreis)
Schleswig-Holstein,Segeberg (Kreis),Sleswick-Holsatia,Segeberg (Kreis)
Schleswig-Holstein,Steinburg (Kreis),Sleswick-Holsatia,Steinburg (Kreis)
Schleswig-Holstein,Stormarn (Kreis),Sleswick-Holsatia,Stormarn (Kreis)
USA,Amerikanisch-Samoa,USA,American Samoa
USA,Nördliche Marianen,USA,Northern Mariana Islands
#Global,Laos,#Global,Laos
Berlin,weitere Fälle in Berlin,Berlin,other cases in Berlin
Niedersachsen,weitere Fälle in Niedersachsen,Lower Saxony,other cases in Lower Saxony
Sachsen,weitere Fälle in Sachsen,Saxony,other cases in Saxony
#Global,Guinea-Bissau,#Global,Guinea-Bissau
#Global,Libyen,#Global,Libya
#Global,Mali,#Global,Libya
#Global,St. Kitts und Nevis,#Global,St. Kitts and Nevis
Bayern,Coburg,Bavaria,Coburg
Bayern,weitere Fälle in Bayern,Bavaria,other cases in Bavaria
Bremen,weitere Fälle in Bremen,Bremen,other cases in Bremen
Bürger Kanadas,Kreuzfahrtschiff 'Diamond Princess',Canadian Citizens,Cruise Ship 'Diamond Princess'
Kanada,Genesene,Canada,Recovered
Saarland,weitere Fälle im Saarland,Saarland,other cases in Saarland
Schleswig-Holstein,weitere Fälle in Schleswig-Holstein,Sleswick-Holsatia,other cases in Sleswick-Holsatia
USA,Genesene,USA,Recovered
Bayern,Kempten,Bavaria,Kempten
Kanada,Yukon,Canada,Yukon
Mecklenburg-Vorpommern,weitere Fälle in Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,other cases in Mecklenburg-Western Pomerania
#Global,Myanmar,#Global,Myanmar
Baden-Württemberg,weitere Fälle in Baden-Württemberg,Baden-Württemberg,other cases in Baden-Württemberg
Thüringen,weitere Fälle in Thüringen,Thuringia,other cases in Thuringia
Großbritannien,Anguilla,United Kingdom,Anguilla
Großbritannien,Britische Jungferninseln,United Kingdom,British Virgin Islands
Großbritannien,Turks- und Caicosinseln,United Kingdom,Turks and Caicos Islands
Hessen,weitere Fälle in Hessen,Hesse,other cases in Hesse
International,Kreuzfahrtschiff 'MS Zaandam',International,Cruise Ship 'MS Zaandam'
#Global,Botswana,#Global,Botswana
Nordrhein-Westfalen,weitere Fälle in Nordrhein-Westfalen,North Rhine-Westphalia,other cases in North Rhine-Westphalia
#Global,Burundi,#Global,Burundi
#Global,Sierra Leone,#Global,Sierra Leone
Brandenburg,weitere Fälle in Brandenburg,Brandenburg,other cases in Brandenburg
#Global,Malawi,#Global,Malawi
#Global,Südsudan,#Global,South Sudan
Rheinland-Pfalz,weitere Fälle in Rheinland-Pfalz,Rhineland-Palatinate,other cases in Rhineland-Palatinate
#Global,Falklandinseln (Malwinen),#Global,Falkland Islands (Malvinas)
#Global,Westsahara,#Global,Western Sahara
Frankreich,Saint-Pierre und Miquelon,France,Saint Pierre and Miquelon
Niederlande,"Bonaire, Sint Eustatius und Saba",Netherlands,"Bonaire, Sint Eustatius and Saba"
#Global,São Tomé und Príncipe,#Global,São Tomé and Príncipe
#Global,Jemen,#Global,Yemen
Sachsen-Anhalt,nicht zugeordnet,Saxony-Anhalt,nicht zugeordnet
